dosen_fasilkom,h_index,full_name,id_author,funding,sum_paper
no,6,Rueycheng Chen,35184848800,LPDP - Ministry of Finance Republic of Indonesia,2
yes,6,R. Yugo Kartono Isal,6507865865,"QUE Project - Faculty of Computer Science, Universitas Indonesia",2
yes,6,R. Yugo Kartono Isal,6507865865,The Australian Research Council,2
no,6,Rueycheng Chen,35184848800,The Australian Research Council,2
no,1,Foni Agus Setiawan,56669695700,Hibah PITTA - Universitas Indonesia,2
no,2,Lintang Adyuta Sutawika,57202778723,Hibah PITTA - Universitas Indonesia,2
no,5,Muhammad Febrian Rachmadi,54974181500,Hibah PITTA - Universitas Indonesia,2
no,24,L. M. Pereira,7201962404,Hibah PITTA - Universitas Indonesia,2
yes,9,Achmad Nizar Hidayanto,57205093001,Hibah PIT9 - Universitas Indonesia,2
no,1,Muhammad Ihsan Mas,57202781445,Hibah PITTA - Universitas Indonesia,2
no,2,Ario Yudo Husodo,53263950600,The United States Agency for International Development (USAID),2
no,1,Timotius Devin,57188976180,Hibah PITTA - Universitas Indonesia,2
no,1,Nanik Qodarsih,57203841017,Hibah PITTA - Universitas Indonesia,2
no,1,Amalia Rahmah,57188872133,Hibah PITTA - Universitas Indonesia,2
no,0,Alfred Boediman,57209497089,The United States Agency for International Development (USAID),2
no,0,Beno K. Pradekso,57209506010,The United States Agency for International Development (USAID),2
yes,10,Aniati Murni Arymurthy,36815724000,The National Innovation System Research Incentive Program (INSINAS) - Ministry of Research Technology and Higher Education Republic of Indonesia,2
yes,10,Aniati Murni Arymurthy,36815724000,PUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,2
yes,10,Aniati Murni Arymurthy,36815724000,Hibah PITTA - Universitas Indonesia,2
no,0,Inas Joesi Burnia,57211267958,Hibah PIT9 - Universitas Indonesia,2
no,0,Achmad Fauzi Azmi,57203134806,Hibah PITTA - Universitas Indonesia,2
yes,3,Evi Yulianti,57200186028,LPDP - Ministry of Finance Republic of Indonesia,2
no,3,Elin Cahyaningsih,56595080500,Multi-discipline Research Grant - Universitas Indonesia,2
no,13,Adam P. Lopez,24553796900,LPDP - Ministry of Finance Republic of Indonesia,2
no,2,Ayi Purbasari,55001755600,Post Doctoral Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,2
no,2,Khoirunnida,57202132579,Hibah PITTA - Universitas Indonesia,2
yes,18,Wisnu Jatmiko,8568432600,PUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,2
yes,6,Dana Indra Sensuse,53264793000,Multi-discipline Research Grant - Universitas Indonesia,2
no,0,Arief Zulianto,55001755500,Post Doctoral Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,2
yes,10,Petrus Mursanto,24176993000,Hibah PIT9 - Universitas Indonesia,2
yes,6,Bobby Achirul Awal Nazief,6508196587,The National Science Foundation,2
yes,1,Iis Afriyanti,57194610554,Reliable Software Engineering (RSE) Laboratory - Universitas Indonesia,2
yes,1,Iis Afriyanti,57194610554,Hibah PITTA - Universitas Indonesia,2
no,22,Werner Nutt,7003716191,The Free University of Bozen-Bolzano,2
yes,7,Indra Budi,14021131100,PUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,2
no,30,Mark A. Sanderson,7202315611,LPDP - Ministry of Finance Republic of Indonesia,2
no,7,Budi Wiweko,43061741400,The United States Agency for International Development (USAID),2
no,30,Mark A. Sanderson,7202315611,The Australian Research Council,2
no,0,Siti Hadjar,57209970187,Hibah PITTA - Universitas Indonesia,2
no,6,Jan Pidanič,21834743200,PUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,2
no,34,Dirk C. Grunwald,7006747842,The National Science Foundation,1
no,4,Brian K. Totty,6506353407,The National Aeronautics and Space Administration (NASA),1
no,4,Brian K. Totty,6506353407,Apple Computer and the Digital Equipment Corporation External Research Program,1
no,34,Dirk C. Grunwald,7006747842,The National Aeronautics and Space Administration (NASA),1
no,34,Dirk C. Grunwald,7006747842,AT&T Intel Scientific Computers and the Digital Equipment Corporation External Research Program,1
no,6,Xingxing Zhang,56578029200,LPDP - Ministry of Finance Republic of Indonesia,1
no,0,Bintang Annisa Bagustari,57210235140,Hibah PIT9 - Universitas Indonesia,1
no,0,Ade Maulana,57210772882,Hibah PITTA - Universitas Indonesia,1
no,1,Assaf Arief,57189356650,"The Center for Research and Development of Postal and Information Technology Resources, Equipment and Services",1
no,1,Mochammad Umar Al-Hafidz,57203147113,Hibah PITTA - Universitas Indonesia,1
no,1,Raisiffah Kunthi,57194547794,Hibah PITTA - Universitas Indonesia,1
no,0,Ricky Nauvaldy Ruliputra,57195204793,Hibah PITTA - Universitas Indonesia,1
no,0,Richard Vinc,57209968635,Hibah PITTA - Universitas Indonesia,1
no,0,Roby Eko Primadi,57207301231,Hibah PITTA - Universitas Indonesia,1
no,0,Muhammad Fuad Dwi Rizki,57207302645,Hibah PITTA - Universitas Indonesia,1
no,0,Gilang Bintang Hakkun Ashshidhiqi,57207314182,Hibah PITTA - Universitas Indonesia,1
no,0,Rena Nuravianty,57207314696,Hibah PITTA - Universitas Indonesia,1
no,1,Winarni,57203134899,Hibah PITTA - Universitas Indonesia,1
no,2,Bagus Amalrullah Utomo,56698234300,Hibah PITTA - Universitas Indonesia,1
no,1,Assaf Arief,57189356650,"The Center for Research and Development of Application Informatics, Ministry of Communication and Informatics, Republics of Indonesia",1
no,1,Assaf Arief,57189356650,Hibah PIT9 - Universitas Indonesia,1
no,6,Xingxing Zhang,56578029200,The UK EPSRC Grant,1
no,1,Assaf Arief,57189356650,Hibah PITTA - Universitas Indonesia,1
no,1,Sinta Denovi Rahmawati,57203177429,Hibah PIT9 - Universitas Indonesia,1
no,0,Dewi Krismawati,57211266496,Hibah PIT9 - Universitas Indonesia,1
no,0,Miftahu Rahmatika,57211268648,Hibah PIT9 - Universitas Indonesia,1
no,0,Rosalia Valentin Margareta,57207307142,Hibah PITTA - Universitas Indonesia,1
no,0,Bintang Annisa Bagustari,57210235140,Hibah PITTA - Universitas Indonesia,1
no,0,Muhammad Teguh Brillian,57207309284,Hibah PITTA - Universitas Indonesia,1
no,2,Malikus Sumadyo,57193833463,"The Scientific Modeling, Application, Research and Training for City-centered Innovation and Technology (SMART CITY) Project - Universitas Indonesia",1
no,2,Lukman Lukman,57193485049,Hibah PITTA - Universitas Indonesia,1
no,0,Mohamad Harits Nur Fauzan,57210558262,Hibah PITTA - Universitas Indonesia,1
no,6,Xingxing Zhang,56578029200,University of Edinburgh,1
no,4,Brian K. Totty,6506353407,The National Science Foundation,1
no,1,Chetan Naik,57211156055,Allen Institute for Artificial Intelligence,1
no,2,David W. Jensen,36872780500,Apple Computer and the Digital Equipment Corporation External Research Program,1
no,2,David W. Jensen,36872780500,The National Aeronautics and Space Administration (NASA),1
no,0,Septiani Andriane Sinaga,57203205892,Hibah PITTA - Universitas Indonesia,1
no,1,Hartasaia Panadea,57202158738,Hibah PITTA - Universitas Indonesia,1
no,0,D. Seprilia,57202151682,Hibah PITTA - Universitas Indonesia,1
no,1,Theresia Puspa Wijayanti,57194162817,PUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,1
no,2,Kautsarina,56411999700,The United States Agency for International Development (USAID),1
no,2,Kautsarina,56411999700,"The Center for Research and Development of Postal and Information Technology Resources, Equipment and Services",1
no,2,Kautsarina,56411999700,"The Center for Research and Development of Application Informatics, Ministry of Communication and Informatics, Republics of Indonesia",1
no,0,Briant Otmen,57211144434,Hibah PIT9 - Universitas Indonesia,1
no,1,Pamela Kareen,57200211407,Hibah PITTA - Universitas Indonesia,1
no,0,Leney Nadeak,57207302544,Hibah PITTA - Universitas Indonesia,1
no,0,Hillary Goretta,57207307735,Hibah PITTA - Universitas Indonesia,1
no,0,Oldyson Tri Anggoro,57207310345,Hibah PITTA - Universitas Indonesia,1
no,1,Satria Ramadhan,57207310824,Hibah PITTA - Universitas Indonesia,1
no,1,Muhammad Singgih Zulfikar Ansori,57193918546,Hibah PITTA - Universitas Indonesia,1
no,1,Pristi Sukmasetya,57189213600,Hibah PITTA - Universitas Indonesia,1
no,1,Tomi Sirait,57189247598,MCIT Republic of Indonesia,1
no,0,Wita Puspitarini,57209974068,Hibah PITTA - Universitas Indonesia,1
no,0,Fikri Pratama Afif,57210466148,Hibah PITTA - Universitas Indonesia,1
no,2,Novian Habibie,57188972794,PUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,1
no,0,Naili Suri Intizhami,57211322215,Hibah PITTA - Universitas Indonesia,1
no,2,Ahmad Gamal,57200131887,Hibah PITTA - Universitas Indonesia,1
no,0,Wendy D.W.T. Bayu,57211268930,Hibah PIT9 - Universitas Indonesia,1
no,0,May Iffah Rizki,57211276990,Hibah PIT9 - Universitas Indonesia,1
no,0,Lintang Matahari Hasani,57211275801,Hibah PIT9 - Universitas Indonesia,1
no,0,Valian Fil Ahli,57211270053,Hibah PIT9 - Universitas Indonesia,1
no,7,A. Bowolaksono,57205093224,Hibah PITTA - Universitas Indonesia,1
no,0,Made Dwita Juliarta,57211254788,Hibah PIT9 - Universitas Indonesia,1
no,0,Fajar Marseto,57211267466,Hibah PIT9 - Universitas Indonesia,1
no,0,Akbar Imanulrachman,57211271028,Hibah PITTA - Universitas Indonesia,1
no,0,Andes Suciani,57202454038,Hibah PITTA - Universitas Indonesia,1
no,0,Fahmi Rahmat Kurniawan,57211266757,Hibah PITTA - Universitas Indonesia,1
no,0,Rahmi Prisalia,57211268004,Hibah PITTA - Universitas Indonesia,1
no,0,Sony Suprapto,57211276983,Hibah PITTA - Universitas Indonesia,1
no,0,Teguh Raharjo,57205119837,Hibah PITTA - Universitas Indonesia,1
no,1,B. Pranata Ari,57209412940,Hibah PITTA - Universitas Indonesia,1
no,1,Anita Hidayati,57201446053,Hibah PITTA - Universitas Indonesia,1
no,9,Ruth A. Aydt,6506874034,Apple Computer and the Digital Equipment Corporation External Research Program,1
no,34,Daniel A. Reed,57203104388,AT&T Intel Scientific Computers and the Digital Equipment Corporation External Research Program,1
no,1,Robert D. Olson,57209549367,The National Science Foundation,1
no,1,Robert D. Olson,57209549367,The National Aeronautics and Space Administration (NASA),1
no,1,Robert D. Olson,57209549367,Apple Computer and the Digital Equipment Corporation External Research Program,1
no,9,Ruth A. Aydt,6506874034,The National Science Foundation,1
no,9,Ruth A. Aydt,6506874034,The National Aeronautics and Space Administration (NASA),1
no,18,Tara M. Madhyastha,56050259900,The National Science Foundation,1
no,0,Haris,57208868199,"The Center for Research and Development of Postal and Information Technology Resources, Equipment and Services",1
no,18,Tara M. Madhyastha,56050259900,The National Aeronautics and Space Administration (NASA),1
no,18,Tara M. Madhyastha,56050259900,Apple Computer and the Digital Equipment Corporation External Research Program,1
no,1,Thomas Birkett,57209400722,The National Science Foundation,1
no,1,Thomas Birkett,57209400722,The National Aeronautics and Space Administration (NASA),1
no,1,Thomas Birkett,57209400722,Apple Computer and the Digital Equipment Corporation External Research Program,1
no,2,David W. Jensen,36872780500,The National Science Foundation,1
no,34,Daniel A. Reed,57203104388,Apple Computer and the Digital Equipment Corporation External Research Program,1
no,0,Parno Nusantara,57205098871,Faculty of Computer Science - Universitas Indonesia,1
no,1,Regina Carla Handayani,57205118201,Hibah PITTA - Universitas Indonesia,1
no,1,A. Nala Freedrikson,57209410076,Hibah PITTA - Universitas Indonesia,1
no,0,Amalia Shaliha,57208585931,Hibah PITTA - Universitas Indonesia,1
no,0,Nadia Nur Annisa,57203115107,Hibah PITTA - Universitas Indonesia,1
no,0,Muthia Nabila,57208579395,Hibah PITTA - Universitas Indonesia,1
no,0,Dony Abdul Chalid,57204637218,Hibah PITTA - Universitas Indonesia,1
no,0,Sigit Sulistiyo Wibowo,57202901613,Hibah PITTA - Universitas Indonesia,1
no,0,Yunia Mandala Sari,57210765895,Hibah PITTA - Universitas Indonesia,1
no,0,Muhammad Akmal Juniawan,57203201305,Hibah PITTA - Universitas Indonesia,1
no,1,Haemiwan Z. Fathony,57194407913,Faculty of Computer Science - Universitas Indonesia,1
no,1,R. Mohamad Fatchur,57209414299,Hibah PITTA - Universitas Indonesia,1
no,1,Hary Hadiansyah,57202132857,Hibah PITTA - Universitas Indonesia,1
no,1,Melisa Helingo,57200525545,Hibah PITTA - Universitas Indonesia,1
no,1,P. Gusman Dharma,57209409129,Hibah PITTA - Universitas Indonesia,1
no,1,Azhar Aditya Rahman,57209411034,Hibah PITTA - Universitas Indonesia,1
no,2,Yulistiyan Wardhana,56118765200,Hibah PITTA - Universitas Indonesia,1
no,0,Lufi Herawan,57208585544,Hibah PITTA - Universitas Indonesia,1
no,0,P. H. Purnomo,57211274033,Hibah PIT9 - Universitas Indonesia,1
no,0,Haris,57208868199,"The Center for Research and Development of Application Informatics, Ministry of Communication and Informatics, Republics of Indonesia",1
no,0,Kenny Badjora Lubis,57207989732,Hibah PITTA - Universitas Indonesia,1
no,0,Dameria Christina Pasaribu,57207301653,Hibah PITTA - Universitas Indonesia,1
no,1,Risman Adnan,57203284838,PUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,1
no,0,Alifiannisa Lawami Diar,57207304431,PDUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,1
no,0,Afifah Nefiratika,57211275208,Hibah PITTA - Universitas Indonesia,1
no,0,Dwinanda Kinanti Suci Sekarhati,57211267086,Hibah PITTA - Universitas Indonesia,1
no,0,Radinal Setyadinsa,57209969112,Hibah PITTA - Universitas Indonesia,1
no,0,Diki Gita Purnama,57207992891,Hibah PITTA - Universitas Indonesia,1
no,0,Muhammad Nazri,57211276568,Hibah PITTA - Universitas Indonesia,1
no,0,Rio Cahyadi,57211266018,Hibah PITTA - Universitas Indonesia,1
no,0,Endah Wintarsih,57211276137,Hibah PITTA - Universitas Indonesia,1
no,87,Rajkumar Buyya,57194845546,LPDP - Ministry of Finance Republic of Indonesia,1
no,87,Rajkumar Buyya,57194845546,The Australian Research Council,1
no,6,Maria Alejandra Rodr?guez,55793189237,LPDP - Ministry of Finance Republic of Indonesia,1
no,6,Maria Alejandra Rodr?guez,55793189237,The Australian Research Council,1
no,3,Aprinaldi Jasa Mantau,57202899749,Hibah PITTA - Universitas Indonesia,1
no,12,Zhaoyan Ming,36447695600,The Singapore National Research Foundation,1
no,5,Grafika Jati,55490339500,The National Innovation System Research Incentive Program (INSINAS) - Ministry of Research Technology and Higher Education Republic of Indonesia,1
no,0,Nur Hamid,57210099255,Hibah PITTA - Universitas Indonesia,1
no,1,Wahyuningdiah Trisari Harsanti Putri,57204432883,Hibah PITTA - Universitas Indonesia,1
no,5,Grafika Jati,55490339500,Hibah PITTA - Universitas Indonesia,1
no,2,Indra Hermawan,55625519100,The National Innovation System Research Incentive Program (INSINAS) - Ministry of Research Technology and Higher Education Republic of Indonesia,1
no,3,Eka Miranda,56241215100,"Research and Technology Transfer office (RTTO), Bina Nusantara University",1
no,5,Achmad Benny Mutiara,53863823400,"Research and Technology Transfer office (RTTO), Bina Nusantara University",1
no,59,Tatseng Chua,7101702977,"Directorate General Higher Education, Ministry of Education and Cultural Indonesia",1
no,59,Tatseng Chua,7101702977,World Bank Group,1
no,2,Ernastuti,26029313100,"Research and Technology Transfer office (RTTO), Bina Nusantara University",1
no,59,Tatseng Chua,7101702977,"I-MHERE Project - Faculty of Computer Science, Universitas Indonesia",1
no,59,Tatseng Chua,7101702977,The Singapore National Research Foundation,1
no,12,Zhaoyan Ming,36447695600,"Directorate General Higher Education, Ministry of Education and Cultural Indonesia",1
no,12,Zhaoyan Ming,36447695600,World Bank Group,1
no,0,Aulia Roza Albareta,57207312826,Hibah PITTA - Universitas Indonesia,1
no,0,Aulia Roza Albareta,57207312826,European Union Funding,1
no,1,Roan Gylberth,57203283015,PUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,1
