Nama,ID Scopus,Oktober Tarik,Akun Scopus 2,Affiliation,Dosen Dengan Gelar
Rahmat Mustafa Samik-Ibrahim,57211059390,ya,"Samik-Ibrahim, Rahmat M.; Samik-Ibrahim R.M.",UI,"Rahmat Mustafa Samik-Ibrahim, S.Si., M.Kom."
Rizal Fathoni Aji,55089397700,ya,"Aji, Rizal Fathoni; Aji, Rizal Fathony; Aji, R. F.; Aji, Rizal Fatoni; Aji, Rizal F.; Aji R.F.",UI,"Rizal Fathoni Aji, S.Kom., M.Kom., Dr."
Satrio Baskoro Yudhoatmojo,57188985405,ya,"Yudhoatmojo, Satrio Baskoro; Yudhoatmojo, Satrio B.; Yudhoatmojo, S. B.; Yudhoatmojo S.B.",UI,"Satrio Baskoro Yudhoatmojo, S.Kom., M.T.I."
Setiadi Yazid,6506236236,ya,"Yazid, Setiadi; Yazid, S.; Setiadi, Yazid; Yazid S.; Setiadi Y.; Yazid Setiadi",UI,"Setiadi Yazid, Ir., M.Sc., Ph.D."
Siti Aminah,57201080360,ya,"Aminah, Siti; Aminah S.",UI,"Siti Aminah, S.Kom., M.Kom."
Suryana Setiawan,56110326700,ya,"Setiawan, Suryana C.; Setiawan, S. C.; Setiawan, Suryana",UI,"Suryana Setiawan, Ir., M.Sc., Ph.D"
Wahyu Catur Wibowo,56126778500,ya,"Wibowo, Wahyu Catur; Wibowo, W. C.; Wibowo, Wahyu; Wibowo, Wahyu C.; Wahyu, Catur W.; Wibowo, Wahvu Catur; Wibowo W.C.; Wibowo W.; Wahyu C.W.",UI,"Wahyu Catur Wibowo, Ir., M.Sc., Ph.D."
Widijanto Satyo Nugroho,57193834555,ya,"Nugroho, Widijanto Satyo; Nugroho, W. S.; Nugroho, Widyanto Satyo; Nugroho W.S.; ",UI,"Widijanto Satyo Nugroho, Drs., M.Math., Ph.D."
Yova Ruldeviyani,56119154900,ya,"Ruldeviyani, Yova; Ruldeviyani, Y.; Ruldeviyani Y.",UI,"Yova Ruldeviyani, S.Kom., M.Kom."
Yudho Giri Sucahyo,6507465058; 57209977914,ya,"Sucahyo, Yudho Giri; Sucahyo, Y. G.; Sucahyo, Yudho G.; Giri Sucahyo, Yudho; Sucahyo Y.G.; Giri Sucahyo Y.",UI,"Prof. Yudho Giri Sucahyo, S.Kom., M.Kom., Ph.D."
Ave Adriana Pinem,56626063000,ya,"Pinem, Ave Adriana; Pinem, A. A.; Pinem A.A.",UI,"Ave Adriana Pinem, S.Kom., M.Kom."
Fatimah Azzahro,57194160083,ya,"Azzahro, Fatimah; Azzahro, F.; Azzahro F.",UI,"Fatimah Azzahro, S. Kom., M.Sc."
Widia Resti Fitriani,57193701425,ya,"Fitriani, Widia Resti; Fitriani W.R.",UI,"Widia Resti Fitriani, S.Kom., M.Kom."
Achmad Fatchuttamam Abka,57188833403,ya,"Abka, Achmad Fatchuttamam; Abka, Achmad F.; Abka A.F.",LIPI,"Achmad Fatchuttamam Abka, S.Kom., M.Kom."
Adi Prasetyo,,tidak,,,"Adi Prasetyo, S.T., M.Eng.(PM)"
Ardhi Putra Pratama Hartono,,tidak,,,"Ardhi Putra Pratama Hartono, S.Kom, M.Sc."
Alex Ferdinansyah,57208012269,ya,"Ferdinansyah, Alex; Ferdinansyah A.",UI,"Alex Ferdinansyah, S.Kom., M.Kom."
Arlisa Yuliawati,55625316600,ya,"Yuliawati, Arlisa; Yuliawati A.",UI,"Arlisa Yuliawati, S.Kom., M.Kom."
Ari Wibisono,55625531300,ya,"Wibisono, Ari; Wibisono, A.; Wibisono A.",UI,"Ari Wibisono, M.Kom."
Aruni Yasmin Azizah,,tidak,,,"Aruni Yasmin Azizah, S.Kom., M.Comp.Sc."
Benny Ranti,57191851850,ya,"Ranti, Benny; Ranti B.",Bina Nusantara University,"Benny Ranti, Ir., M.Sc., Dr."
Daya Adianto,56523314900,ya,"Adianto, Daya; Adianto D.",UI,"Daya Adianto, S.Kom., M.Kom"
Dipta Tanaya,57190002779,ya,"Tanaya, Dipta; Tanaya, Dipta; Tanaya D.",UI,"Dipta Tanaya, S.Kom., M.Kom"
Evi Yulianti,57200186028,ya,"Yulianti, Evi; Yulianti E.",Universitas Indo Global Mandiri,"Evi Yulianti, S.Kom., M.Kom. , M.Comp.Sc., Ph.D."
Farisya Setiadi,55893882700,ya,"Setiadi, Farisya; Setiadi F.",UI,"Farisya Setiadi, S.T., M.T.I., Dr."
Iis Afriyanti,57194610554,ya,"Afriyanti, Iis; Afriyanti I.",UI,"Iis Afriyanti, S.Kom., M.Sc."
Iis Solichah,55014342100,ya,"Solichah, Iis; Solichah I.",UI,"Iis Solichah, S.Kom., M.Kom., M.C.S."
Ika Chandra Hapsari,55885685300,ya,"Hapsari, Ika Chandra; Hapsari, I. C.; Hapsari I.C.",UI,"Ika Chandra Hapsari, S.Kom., M.Kom."
Khumaisa Nur’aini,57188985063,ya,"Nur'Aini, Khumaisa; Nur'Aini K.",UI,"Khumaisa Nur’aini, S.Si., M.Kom."
Kurniawati Azizah,,tidak,,,"Kurniawati Azizah, S.T., M.Phil."
Laksmita Rahadianti,55513678400,ya,"Rahadianti, Laksmita; Rahadianti L.",Nagoya Institute of Technology,"Laksmita Rahadianti, S.Kom., M.Sc., Ph.D."
Larastri Kumaralalita,55014232200,ya,"Kumaralalita, Larastri; Kumaralalita L.",UI,"Larastri Kumaralalita, S.Kom, M.Sc."
Maya Retno Ayu Setyautami,56523330500,ya,"Setyautami, Maya Retno Ayu; Setyautami, Maya R.A.; Setyautami M.R.A.",UI,"Maya Retno Ayu Setyautami S.Kom., M.Kom."
Meganingrum Arista Jiwanggi,57035625100,ya,"Jiwanggi, Meganingrum Arista; Jiwanggi M.A.",UI,"Meganingrum Arista Jiwanggi, S.Kom., M.Kom., M.C.S."
Moch Ali Hanafiah,,tidak,,,"Moch Ali Hanafiah, S.T., M.Sc., Ph.D."
Muhammad Anwar Ma’sum,54974181100,ya,"Ma'sum, M. Anwar; Ma'Sum, M. Anwar; Ma'sum, M. Anwar; Marsum, M. Anwar; Anwar Ma'sum, M.; Ma'Sum, Muhammad Anwar; Marsum M.A.; Ma'Sum M.A.; Ma'sum M.A.; Anwar Ma'sum M.",UI,"Muhammad Anwar Ma’sum, S.Kom., M.Kom."
Muhammad Mishbah,57201979474,ya,"Mishbah, Muhammad; Mishbah, M.; Mishbah M.",UI,"Muhammad Mishbah, S.Kom., M.Kom"
Muhammad Okky Ibrohim,57203838557,ya,"Ibrohim, Muhammad Okky; Okky Ibrohim, Muhammad; Okky Ibrohim M.; Ibrohim M.O.",UI,"Muhammad Okky Ibrohim, S.Mat., M.Kom."
Nilam Fitriah,57210302469,ya,"Fitriah, N.; Fitriah N.",UI,"Nilam Fitriah, S.Kom., M.Si."
Nur Fitriah Ayuning Budi,56521579100,ya,"Budi, Nur Fitriah Ayuning; Budi, N. F.A.; Budi, N. F.Ayuning; Ayuning Budi, Nur Fitriah; Budi, Nur Fitriah A.; Budi N.F.A.; Ayuning Budi N.F.",UI,"Nur Fitriah Ayuning Budi, S.Kom., M.Kom."
Qorib Munajat,57190865720,ya,"Munajat, Qorib; Munajat, Q.; Munajat Q.",UI,"Qorib Munajat, S.Kom., M.I.S. (?)"
Rahmad Mahendra,55314037600,ya,"Mahendra, Rahmad; Mahendra R.",UI,"Rahmad Mahendra, S.Kom., M.Sc."
Raja Oktovin P. Damanik,,tidak,,,"Raja Oktovin P. Damanik, S.Kom., M.Sc."
Riri Satria,55315269500,ya,"Satria, Riri; Satria R.",UI,"Riri Satria, S.Kom., M.M."
Suci Fadhilah,57189246699,ya,"Fadhilah, Suci; Fadhilah S.",UI,"Suci Fadhilah, S.Kom., M.A."
Yekti Wirani,57208573398,ya,"Wirani, Yekti; Wirani Y.",UI,"Yekti Wirani, S.T., M.T.I."
Agus Kurniawan,55636539300,ya,"Kurniawan, Agus; Kurniawan A.",Freie Universität Berlin,"Agus Kurniawan, ST. M.Si."
Alfan Farizki Wicaksono,55522888300,ya,"Wicaksono, Alfan Farizki; Farizki Wicaksono, Alfan; Wicaksono, Alfan F.; Wicaksono A.F.; Farizki Wicaksono A.",UI,"Alfan Farizki Wicaksono, S.T., M.Sc."
Bayu Distiawan T,55314376300,ya,"Distiawan, Bayu T.; Distiawan, Bayu; Distiawan B.; Distiawan B.T.",UI,"Bayu Distiawan T, M.Kom."
Clara Vania,55008384600,ya,"Vania, Clara; Vania C.",University of Edinburgh,"Clara Vania, S.Kom, M.Kom."
Herry,8579933000,ya,Herry,UI,"Herry, S.Kom, M.Kom."
Muhammad Hafizhuddin Hilman,57193832526,ya,"Hilman, M. H.; Hafizhuddin Hilman, Muhammad; Hilman, Muhammad Hafizhuddin; Hafizhuddin Hilman M.; Hilman M.H.",UI,"Muhammad Hafizhuddin Hilman, S.Kom., M. Kom."
Samuel Louvan,57206242437; 55585368600,ya,"Louvan, Samuel; Louvan S.",UI; Università degli Studi di Trento,"Samuel Louvan, S.T., M.Sc."
