id_scopus,h_index,indexed_name,given_name,surname,full_name,current_affiliation_id,affil_name,affil_address,affil_city,affil_state,affil_country,affil_postal_code,dosen_fasilkom
56461394900,4,Junus K.,Kasiyah,Kasiyah,Kasiyah,110895154,Faculty of Computer Science,Universitas Indonesia,Depok,Java,Indonesia,16424,yes
6507865865,6,Isal Y.K.,R. Yugo Kartono,Isal,R. Yugo Kartono Isal,110895154,Faculty of Computer Science,Universitas Indonesia,Depok,Java,Indonesia,16424,yes
6504731736,1,Hardianto D.,Dadan,Hardianto,Dadan Hardianto,110895154,Faculty of Computer Science,Universitas Indonesia,Depok,Java,Indonesia,16424,yes
57203922071,7,Hasibuan Z.A.,Zainal A.,Hasibuan,Zainal A.Hasibuan,110895154,Faculty of Computer Science,Universitas Indonesia,Depok,Java,Indonesia,16424,yes
55585368600,1,Louvan S.,Samuel,Louvan,Samuel Louvan,110895154,Faculty of Computer Science,Universitas Indonesia,Depok,Java,Indonesia,16424,yes
57200186028,3,Yulianti E.,Evi,Yulianti,Evi Yulianti,110895154,Faculty of Computer Science,Universitas Indonesia,Depok,Java,Indonesia,16424,yes
35611399700,7,Adriani M.,Mirna,Adriani,Mirna Adriani,110895154,Faculty of Computer Science,Universitas Indonesia,Depok,Java,Indonesia,16424,yes
57035625100,1,Jiwanggi M.A.,Meganingrum Arista,Jiwanggi,Meganingrum Arista Jiwanggi,110895154,Faculty of Computer Science,Universitas Indonesia,Depok,Java,Indonesia,16424,yes
57189246699,2,Fadhilah S.,Suci,Fadhilah,Suci Fadhilah,110895154,Faculty of Computer Science,Universitas Indonesia,Depok,Java,Indonesia,16424,yes
8980537200,2,Azurat A.,Ade,Azurat,Ade Azurat,110895154,Faculty of Computer Science,Universitas Indonesia,Depok,Java,Indonesia,16424,yes
56523330500,2,Setyautami M.R.A.,Maya Retno Ayu,Setyautami,Maya Retno Ayu Setyautami,110895154,Faculty of Computer Science,Universitas Indonesia,Depok,Java,Indonesia,16424,yes
56523314900,1,Adianto D.,Daya,Adianto,Daya Adianto,110895154,Faculty of Computer Science,Universitas Indonesia,Depok,Java,Indonesia,16424,yes
57194610554,1,Afriyanti I.,Iis,Afriyanti,Iis Afriyanti,110895154,Faculty of Computer Science,Universitas Indonesia,Depok,Java,Indonesia,16424,yes
